season,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11
1.0,6.166666666666667,6.833333333333333,7.0,7.75,8.333333333333334,9.0,,,,,
2.0,6.5,7.444444444444445,7.5,7.571428571428571,8.333333333333334,9.0,8.5,9.666666666666666,,,
3.0,6.363636363636363,7.7,7.444444444444445,8.25,8.571428571428571,7.8,9.2,9.25,10.0,10.0,
4.0,6.181818181818182,7.454545454545454,7.3,7.0,7.25,8.0,8.666666666666666,8.4,10.0,9.666666666666666,
5.0,7.083333333333333,7.2727272727272725,8.1,8.777777777777779,8.375,8.428571428571429,8.833333333333334,8.8,9.75,8.666666666666666,
6.0,6.666666666666667,7.166666666666667,7.6,8.333333333333334,8.25,8.571428571428571,8.833333333333334,9.0,9.25,9.666666666666666,
7.0,6.461538461538462,6.7272727272727275,7.222222222222222,7.555555555555555,8.0,7.714285714285714,8.0,8.4,8.5,9.333333333333334,
8.0,6.3076923076923075,7.0,7.083333333333333,7.181818181818182,7.888888888888889,7.75,8.714285714285714,8.5,9.0,9.0,10.0
9.0,6.0,6.928571428571429,6.769230769230769,7.2727272727272725,8.1,7.777777777777778,8.142857142857142,8.8,9.0,9.0,
10.0,6.363636363636363,6.636363636363637,6.9,6.888888888888889,7.25,7.571428571428571,8.666666666666666,8.6,9.5,9.333333333333334,
11.0,6.25,6.636363636363637,7.5,6.777777777777778,7.625,7.714285714285714,8.833333333333334,9.0,9.75,9.333333333333334,
12.0,6.2727272727272725,6.7272727272727275,7.2,7.666666666666667,8.125,8.428571428571429,8.5,8.8,9.25,9.666666666666666,
13.0,6.0,6.7272727272727275,8.0,7.888888888888889,7.625,8.0,8.0,8.8,8.75,9.0,
14.0,7.75,7.5,8.454545454545455,7.8,8.333333333333334,8.75,8.571428571428571,9.166666666666666,9.75,10.0,
15.0,7.076923076923077,7.833333333333333,8.636363636363637,9.0,9.25,9.375,9.285714285714286,9.571428571428571,9.6,10.0,
16.0,6.416666666666667,6.916666666666667,7.0,7.6,7.777777777777778,8.0,8.428571428571429,8.666666666666666,9.6,9.75,
17.0,7.166666666666667,7.416666666666667,7.636363636363637,7.9,8.666666666666666,8.75,9.125,8.571428571428571,8.833333333333334,8.8,9.0
18.0,7.25,7.2727272727272725,8.777777777777779,8.333333333333334,9.0,8.875,8.857142857142858,9.5,9.8,9.75,
19.0,7.076923076923077,7.666666666666667,8.090909090909092,7.9,7.444444444444445,8.222222222222221,7.875,8.571428571428571,9.0,9.2,10.0
20.0,6.333333333333333,7.333333333333333,7.2727272727272725,8.4,8.11111111111111,8.0,8.857142857142858,9.0,10.0,9.666666666666666,
21.0,6.384615384615385,7.076923076923077,7.6,7.8,8.444444444444445,8.88888888888889,8.75,8.571428571428571,8.833333333333334,9.75,9.75
22.0,6.666666666666667,6.583333333333333,7.2727272727272725,8.1,7.777777777777778,8.333333333333334,9.0,9.333333333333334,9.6,9.666666666666666,
23.0,6.153846153846154,6.923076923076923,6.833333333333333,7.909090909090909,8.555555555555555,8.666666666666666,8.25,9.0,9.5,9.8,9.75
24.0,6.25,6.916666666666667,7.2727272727272725,8.3,8.666666666666666,8.5,8.714285714285714,8.6,9.75,9.666666666666666,
25.0,6.076923076923077,7.153846153846154,7.363636363636363,8.272727272727273,8.6,8.666666666666666,8.875,8.833333333333334,9.2,9.75,
26.0,7.1,8.0,8.5,9.666666666666666,,,,,,,
27.0,6.6923076923076925,7.666666666666667,8.272727272727273,7.8,8.333333333333334,8.444444444444445,9.0,9.166666666666666,9.75,,
28.0,5.5,6.083333333333333,6.7,7.1,8.0,8.444444444444445,8.25,8.857142857142858,8.666666666666666,9.4,10.0
29.0,5.8,6.0,6.642857142857143,7.615384615384615,8.0,8.090909090909092,8.7,8.25,8.857142857142858,9.833333333333334,10.0
30.0,6.066666666666666,6.6,7.071428571428571,8.076923076923077,8.818181818181818,9.3,8.88888888888889,9.5,9.333333333333334,10.0,
31.0,5.875,6.933333333333334,7.214285714285714,7.923076923076923,8.833333333333334,8.8,9.333333333333334,9.25,9.166666666666666,10.0,
32.0,5.428571428571429,6.076923076923077,6.916666666666667,7.181818181818182,7.9,8.222222222222221,8.0,8.571428571428571,9.0,9.8,9.8
